"ALL_CODCIA";"ALL_FECHA_DIA";"ALL_NUMOPER";"ALL_CODTRA";"ALL_FLAG_EXT";"ALL_CODCLIE";"ALL_CODART";"ALL_IMPORTE_AMORT";"ALL_IMPORTE";"ALL_CHESER";"ALL_SECUENCIA";"ALL_IMPORTE_DOLL";"ALL_CODUSU";"ALL_PRECIO";"ALL_CODVEN";"ALL_FBG";"ALL_CP";"ALL_TIPDOC";"ALL_CANTIDAD";"ALL_NUMGUIA";"ALL_CODBAN";"ALL_AUTOCON";"ALL_CHENUM";"ALL_CHESEC";"ALL_NUMSER";"ALL_NUMFAC";"ALL_FECHA_VCTO";"ALL_NETO";"ALL_BRUTO";"ALL_GASTOS";"ALL_IMPTO";"ALL_DESCTO";"ALL_MONEDA_CAJA";"ALL_MONEDA_CCM";"ALL_MONEDA_CLI";"ALL_NUMDOC";"ALL_LIMCRE_ANT";"ALL_LIMCRE_ACT";"ALL_TIPO_BLOQ_ANT";"ALL_TIPO_BLOQ_ACT";"ALL_CANT_CHEQ";"ALL_NUM_INI";"ALL_NUM_OPER2";"ALL_SIGNO_ARM";"ALL_CODTRA_EXT";"ALL_SIGNO_CCM";"ALL_SIGNO_CAR";"ALL_SIGNO_CAJA";"ALL_TIPMOV";"ALL_NUMSER_C";"ALL_NUMFAC_C";"ALL_SERDOC";"ALL_TIPO_CAMBIO";"ALL_FLETE";"ALL_SUBTRA";"ALL_HORA";"ALL_FACART";"ALL_CONCEPTO";"ALL_NUMOPER2";"ALL_FECHA_ANT";"ALL_SITUACION";"ALL_FECHA_SUNAT";"ALL_FLAG_SO";"ALL_IMPG1";"ALL_IMPG2";"ALL_CTAG1";"ALL_CTAG2";"ALL_CODSUNAT";"ALL_FECHA_PRO";"ALL_FECHA_CAN";"ALL_SERIE_REC";"ALL_NUM_RECIBO";"ALL_RUC";"ALL_CC";"ALL_ZONACC";"ALL_CODCAJ";"ALL_ESTADO_FE";"ALL_DOC_ELECTRONICO";"ALL_CAJA_NRO";"ALL_CAJA_ESTADO"
"25";26/09/2025 15:33;73;2401;"N";767;0;0;0;"i_c";0;0;"OPER03    ";0;0;"B";"C";"  ";0;0;0;"null";0;"0  ";"21 ";1;26/09/2025 15:33;60;60;0;0;0;"S";" ";"S";0;0;0;"null";"null";0;null;0;1;null;0;1;0;10;"0  ";0;0;null;0;"null";26/09/2025 15:33;"null";"SERVICIOS DE CONSULTORIO                                                                                                                                                                                                                                       ";null;26/09/2025 15:33;"null";26/09/2025 15:33;" ";0;0;"null";"null";0;26/09/2025 15:33;26/09/2025 15:33;0;0;"            ";0;0;1;null;" ";0;1
"25";12/09/2025 00:00;123;2401;"N";1;2604626;0.1;0;"i_c";20;0;"OPER03    ";0.1;9;"B";"C";"FA";0;0;0;"F.E. - CONTADO - C:                                                                                                                                   ";0;"0  ";"11 ";858935;12/09/2025 00:00;0.1;0.1;0;0;0;"S";" ";"S";0;0;0;"B   ";"null";0;null;0;-1;2401;0;0;1;10;"0  ";0;0;3.55;0;"F.E. - CONTADO - CAS";12/09/2025 14:08;" ";"                                                                                                                                                                                                                                                               ";123;30/12/1899 00:00;" ";12/09/2025 00:00;" ";0;0;"            ";"            ";3;12/09/2025 00:00;12/09/2025 00:00;0;0;"            ";0;0;1;null;"A";3,588;null
