ARM_CODART,ART_NOMBRE,Cod_Prod,Nom_Prod_DIGEMID,Concent_DIGEMID,Score
2509761.0,PENETRO FORTE x 30GR,54880,PENETRO FORTE,15 g + 10 g,0.89
2509868.0,DEXABRON PLUS ANTIGRIPAL x 30 SOBRES,52861,DEXABRON PLUS ANTIGRIPAL,500 mg + 20 mg + 10 mg + 50 mg,0.9
2510270.0,CLORINCORT-P UNG.OFT. 3.5G - LANSIER,55759,CLORINCORT - P NF,40000 UI + 1 g + 0.35 g + 1000000 UI,0.72
2510698.0,STERI-STRIP - 3M,55501,RESFRIGRIP DM,,0.62
2510705.0,SONDA NELATON # 14,41082,ONDANSETRON,8 mg/ 4 mL,0.67
2510812.0,SONDA NELATON # 16,41082,ONDANSETRON,8 mg/ 4 mL,0.67
2511384.0,REFLEXAN 5mg CAJA x 20 TABS,44867,REFLEXAN 5,5 mg,0.64
2512070.0,PLATSIDERM CREMA x 50gr - PORTUGAL,50429,PLATSIDERM CREMA,1 % + 0.6 %,0.77
2512498.0,HIOSCINA BUTIL BROMURO 10mgx100 TAB - ACFARMA,53838,HIOSCINA BUTILBROMURO,10 mg,0.76
2512505.0,FLUIBRONCOL 300mg x 3 AMP,35547,FLUIBRONCOL ORAL,200 mg/ g,0.73
2513398.0,TRINALER 200MG x 50 COMP,50810,TRINALER 800,800 mg,0.71
2513405.0,RINOFLUIMUCIL SOLUCION NASAL x 10ml,48490,RINOFLUIMUCIL,10 mg/ mL,0.64
2513833.0,HYALO COMFORT FRASCO x 10ml,43315,HYALO COMFORT,0.4 %,0.65
2514191.0,AQUOL FRESH COLIRIO x 15ml,50127,AQUOL FRESH,0.0125 %,0.69
2514305.0,COLGATE TRIPLE ACCION x 37 ml,52788,TRIPLE ACCION G& R,0.050 g + 1 g + 0.10 g,0.65
2515205.0,ESPASMEX COMPUESTO CAJA x 60 TABS,41322,ESPASMEX COMPUESTO,10 mg + 500 mg,0.71
2515312.0,ECOCARDIOGRAMA,38808,CARDIMAX,6 mg/ 2 mL,0.64
2516319.0,LOPIROX LACA PARA UÑAS 8%FCO x 4ml,46847,LOPIROX LACA PARA UÑAS 8%,80 mg,0.94
2516747.0,PANTODERM CREMA x 30gr,50429,PLATSIDERM CREMA,1 % + 0.6 %,0.68
2518440.0,KETOROLACO 10mg x 100 TAB - PERUFARMA,57576,KETOROLACO TROMETAMINA,10 mg,0.63
2518654.0,MOXIFLOXACINO 400mg x 5 TAB - DIPHASAC,51995,MOXIFLOXACINO,400 mg,0.63
